Name,Age,Phone,Vaccinated,City
Pablo,27,0625356585,Yes,Toulouse
Javier,35,0645612385,Yes,Toulouse
David,30,0625769124,Yes,Toulouse
Elise,35,0636496278,Yes,Toulouse
Maria,28,0614151326,No,Toulouse
Gauthier,30,0648736128,Yes,Toulouse
Marine,31,0669854695,No,Toulouse
Tran,26,0658769452,No,Toulouse
Matthieu,29,0663956242,Yes,Toulouse
Daniel,27,0632156242,No,Madrid
Isabel,28,0622556321,Yes,Madrid
Irene,27,0654869725,No,Madrid
Juan,25,0638152468,No,Madrid
Sara,24,0685964231,No,Madrid
Alba,26,0631256484,No,Madrid
